id;name;description;configuration;active;landscape_id
1;contextually-based Alaska Fresh;Table Micronesia;Center;true;70ebd703-9
2;Kansas Garden;Engineer;USB e-services;true;3c7f6261-d
3;Senior redefine Keyboard;Mountain invoice;SMTP vortals revolutionary;false;c3ec225a-2
4;solution;Supervisor index Diverse;Brand copying;true;a5ac4a3a-4
5;Handcrafted feed;Research Optional;multi-byte iterate;false;203f8dca-5
6;specifically magenta;Assurance systemic;International open-source;true;9b282554-c
7;back-end;violet;indigo pink;true;e7b9ac37-1
8;ivory deliverables Small;invoice digital parsing;Berkshire Vision-oriented empowering;true;bb438ced-c
9;Gloves;Villages world-class;indexing Bedfordshire;true;c27a8a42-5
10;Corporate impactful;matrix;Metal matrix back-end;true;334aec26-1
