id;version;import_date;file_name;content;project_id
1;19889;2022-06-19;Response;../fake-data/blob/hipster.txt;1
2;20290;2022-06-18;Metal Strategist Moroccan;../fake-data/blob/hipster.txt;2
3;47421;2022-06-19;Investor Account monitor;../fake-data/blob/hipster.txt;3
4;87966;2022-06-18;parsing turn-key enhance;../fake-data/blob/hipster.txt;4
5;14992;2022-06-19;COM Integration;../fake-data/blob/hipster.txt;5
6;1844;2022-06-19;unleash Principal;../fake-data/blob/hipster.txt;6
7;87505;2022-06-19;azure Lead;../fake-data/blob/hipster.txt;7
8;11869;2022-06-18;parsing withdrawal responsive;../fake-data/blob/hipster.txt;8
9;77455;2022-06-19;Sleek Guarani Integration;../fake-data/blob/hipster.txt;9
10;34295;2022-06-18;synergistic Ball;../fake-data/blob/hipster.txt;10
