id;name;type;documentation;landscape_element_id
1;online North;C4_PERSON;high-level seize pink;Plastic Facilitator Nevada
2;open-source;C4_PERSON;deploy Romania cross-platform;evolve killer
3;facilitate European Designer;C4_SYSTEM;Rubber info-mediaries Congolese;HTTP
4;eco-centric Cocos Mandatory;C4_VIEW;Savings;for Refined Montana
5;Bedfordshire Integrated;C4_PERSON;Fantastic;Usability Buckinghamshire Kron
6;Squares Technician Open-architected;C4_SYSTEM;Organized Branding contextually-based;CSS Rustic SMTP
7;Auto;C4_SYSTEM;alarm;plum Accounts harness
8;Robust deposit;C4_PERSON;Canada deposit Security;Security
9;quantifying;C4_SYSTEM;Guernsey;reinvent
10;Checking content-based e-markets;C4_SYSTEM;National bypassing;bluetooth Fish
